epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,12547.6,0.88009,0.48071,0.88003,0.82995,0.65488,0.73087,0.43053,1.19944,0.64589,0.96257,0.003664,0.003664,0.003664
66,12739.9,0.87718,0.47881,0.87946,0.82671,0.65918,0.73137,0.43112,1.20236,0.64487,0.96288,0.003565,0.003565,0.003565
67,12932.1,0.87582,0.47723,0.88001,0.8252,0.66756,0.73608,0.4334,1.20359,0.64476,0.96369,0.003466,0.003466,0.003466
68,13124.1,0.8675,0.47268,0.87868,0.82569,0.66697,0.72686,0.43052,1.20366,0.64665,0.96363,0.003367,0.003367,0.003367
69,13316.2,0.86665,0.47078,0.87547,0.83357,0.66329,0.72624,0.43059,1.20117,0.64563,0.96333,0.003268,0.003268,0.003268
70,13510.2,0.85947,0.46921,0.87529,0.81859,0.67433,0.72781,0.43171,1.2016,0.64492,0.96362,0.003169,0.003169,0.003169
71,13708.5,0.85663,0.46698,0.87453,0.82873,0.66675,0.72762,0.42907,1.20226,0.64585,0.96387,0.00307,0.00307,0.00307
72,13904.9,0.85689,0.46709,0.87382,0.82422,0.66592,0.72599,0.43017,1.20521,0.6468,0.96527,0.002971,0.002971,0.002971
73,14097.2,0.85378,0.46567,0.87445,0.82541,0.67171,0.72691,0.42987,1.20505,0.6447,0.96485,0.002872,0.002872,0.002872
74,14288.6,0.84954,0.46346,0.87284,0.8288,0.6695,0.72916,0.43002,1.20551,0.64499,0.96499,0.002773,0.002773,0.002773
75,14480.6,0.84338,0.46054,0.8708,0.8264,0.66797,0.72838,0.42968,1.20491,0.64447,0.96511,0.002674,0.002674,0.002674
76,14672.6,0.84194,0.45774,0.87061,0.81874,0.67345,0.72521,0.42886,1.20486,0.64577,0.96521,0.002575,0.002575,0.002575
77,14865.1,0.83629,0.45573,0.8699,0.82717,0.66715,0.72574,0.4297,1.20443,0.64606,0.96536,0.002476,0.002476,0.002476
